ids,Pregunta,Respuesta,Metadata
10,¿Como obtengo una copia con los terminos y condiciones de mi poliza?,"Estos son los pasos para descargar la poliza de su seguro:
1. Ingrese a Acceso a Clientes dando clic en el enlace: https://clientes.segurosbolivar.com/login, y digite su numero de documento y el codigo que le llegara por mensaje de texto a su celular. 
2. Una vez dentro del portal, en el inicio de clic en 'Ver detalle' en el seguro del cual desea descargar la poliza.
3. En esta seccion, encontrara la opcion 'Descargar poliza'. De clic alli para obtener el archivo en formato PDF. 

 ¡Y listo! Ahora puede guardar el archivo PDF en su dispositivo.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
11,"¿Que es una prima?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
12,"¿Que es una prima en un seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
13,"¿Podrian explicarme que significa la prima del seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
14,"¿Como se define la prima en mi poliza?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
15,"¿Que representa la prima en un seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
16,"¿Que implica pagar una prima en mi seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
17,"¿Cual es el significado de la prima en mi poliza de seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
18,"¿Podrian aclarar que es la prima de un seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
19,"¿Que significa el termino prima en mi contrato de seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
20,"¿Para que sirve la prima que pago en mi seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
21,"¿Por que es importante la prima en un seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
22,"¿Que incluye la prima que pago por mi seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
23,"¿Como afecta la prima a mi cobertura de seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
24,¿Hay diferentes tipos de primas en los seguros?,"¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
25,"¿Como descargo una certificacion de mi seguro?,","Para descargar una certificacion de su seguro, siga estos pasos:
1. Acceda al portal de Acceso a Clientes https://clientes.segurosbolivar.com/login 
2. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
3. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
26,"¿Como descargo una certificacion de mi seguro de accidentes escolares?,","Para descargar una certificacion de su seguro, siga estos pasos:
1. Acceda al portal de Acceso a Clientes https://clientes.segurosbolivar.com/login 
2. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
3. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
27,"¿Como descargo una certificacion de mi seguro de SOAT?,","Para descargar una certificacion de su seguro, siga estos pasos:
1. Acceda al portal de Acceso a Clientes https://clientes.segurosbolivar.com/login 
2. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
3. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
28,"¿Como descargo una certificacion de mi seguro de aviacion?,","Para descargar una certificacion de su seguro, siga estos pasos:
1. Acceda al portal de Acceso a Clientes https://clientes.segurosbolivar.com/login 
2. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
3. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
29,"¿Como descargo una certificacion de mi seguro de corriente debil?,","Para descargar una certificacion de su seguro, siga estos pasos:
1. Acceda al portal de Acceso a Clientes https://clientes.segurosbolivar.com/login 
2. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
3. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
30,"¿Como descargo una certificacion de mi seguro de credito a la exportacion?,","Para descargar una certificacion de su seguro, siga estos pasos:
1. Acceda al portal de Acceso a Clientes https://clientes.segurosbolivar.com/login 
2. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
3. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
31,"¿Como descargo una certificacion de mi seguro de cumplimiento?,","Para descargar una certificacion de su seguro, siga estos pasos:
1. Acceda al portal de Acceso a Clientes https://clientes.segurosbolivar.com/login 
2. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
3. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
32,¿Como descargo una certificacion de mi seguro de desempleo?,"Para descargar una certificacion de su seguro, siga estos pasos:
1. Acceda al portal de Acceso a Clientes https://clientes.segurosbolivar.com/login 
2. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
3. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
33,"¿Cómo descargo una certificación de mi seguro de hogar, de casa?","Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
34,¿Cómo obtengo un certificado de mi seguro de hogar?,"Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
35,¿Dónde puedo descargar la certificación de mi seguro de casa?,"Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
36,¿Cómo puedo bajar el certificado de mi seguro de vivienda?,"Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
37,¿Dónde encuentro el certificado de mi póliza de seguro de hogar?,"Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
38,¿Cuál es el proceso para obtener la certificación de mi seguro de casa?,"Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
39,¿Puedo descargar un certificado de mi seguro de hogar desde el portal de la aseguradora?,"Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
40,¿Cómo consigo una copia del certificado de mi seguro de vivienda en línea?,"Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
41,¿Dónde se descarga el certificado del seguro de hogar en la página web de la aseguradora?,"Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
42,¿Cómo obtengo el documento que certifica mi seguro de casa?,"Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
43,¿Me pueden guiar para descargar la certificación de mi seguro de hogar?,"Para descargar una certificación de su seguro de hogar, de casa, siga estos pasos:
 1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login.
 2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad.
 3. Luego en el filtro 'Seleccione el producto a certificar' elija hogar.
 4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
44,¿Cómo descargo una certificación de mi seguro miscelaneos?,"Para descargar una certificación de su seguro miscelaneos, siga estos pasos: 
1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login. 
2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad. 
3. Luego en el filtro 'Seleccione el producto a certificar' elija miscelaneos. 
4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
45,¿Cómo obtengo un certificado de mi seguro misceláneos?,"Para descargar una certificación de su seguro miscelaneos, siga estos pasos: 
1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login. 
2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad. 
3. Luego en el filtro 'Seleccione el producto a certificar' elija miscelaneos. 
4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
46,¿Dónde puedo descargar la certificación de mi seguro misceláneos?,"Para descargar una certificación de su seguro miscelaneos, siga estos pasos: 
1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login. 
2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad. 
3. Luego en el filtro 'Seleccione el producto a certificar' elija miscelaneos. 
4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
47,¿Cómo puedo bajar el certificado de mi seguro misceláneos?,"Para descargar una certificación de su seguro miscelaneos, siga estos pasos: 
1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login. 
2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad. 
3. Luego en el filtro 'Seleccione el producto a certificar' elija miscelaneos. 
4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
48,¿Dónde encuentro la opción para descargar el certificado de mi seguro misceláneos?,"Para descargar una certificación de su seguro miscelaneos, siga estos pasos: 
1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login. 
2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad. 
3. Luego en el filtro 'Seleccione el producto a certificar' elija miscelaneos. 
4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
49,¿Cuál es el proceso para obtener la certificación de mi seguro misceláneos?,"Para descargar una certificación de su seguro miscelaneos, siga estos pasos: 
1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login. 
2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad. 
3. Luego en el filtro 'Seleccione el producto a certificar' elija miscelaneos. 
4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
50,¿Puedo descargar un certificado de mi seguro misceláneos desde la página web?,"Para descargar una certificación de su seguro miscelaneos, siga estos pasos: 
1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login. 
2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad. 
3. Luego en el filtro 'Seleccione el producto a certificar' elija miscelaneos. 
4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
51,¿Cómo consigo una copia del certificado de mi seguro misceláneos en línea?,"Para descargar una certificación de su seguro miscelaneos, siga estos pasos: 
1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login. 
2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad. 
3. Luego en el filtro 'Seleccione el producto a certificar' elija miscelaneos. 
4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
52,¿Cómo accedo al certificado de mi seguro misceláneos en el portal de la aseguradora?,"Para descargar una certificación de su seguro miscelaneos, siga estos pasos: 
1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login. 
2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad. 
3. Luego en el filtro 'Seleccione el producto a certificar' elija miscelaneos. 
4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
53,¿Dónde se descarga el certificado del seguro misceláneos en el sitio web?,"Para descargar una certificación de su seguro miscelaneos, siga estos pasos: 
1. Acceda al portal de Acceso a Clientes, dando clic en el siguiente enlace: https://clientes.segurosbolivar.com/login. 
2. Diríjase a la sección 'Mis certificaciones' y allí en el filtro de '¿Para qué necesita su certificación?' elija una opción de acuerdo a su necesidad. 
3. Luego en el filtro 'Seleccione el producto a certificar' elija miscelaneos. 
4. ¡Y eso es todo! Ahora puede guardar el archivo PDF descargado, visualizarlo o enviarlo por correo electrónico.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb""]}"
