ids,Pregunta,Respuesta,Metadata
16,"¿Que es una prima en un seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
17,"¿Podrian explicarme que significa la prima del seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
18,"¿Como se define la prima en mi poliza?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
19,"¿Que representa la prima en un seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
20,"¿Que implica pagar una prima en mi seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
21,"¿Cual es el significado de la prima en mi poliza de seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
22,"¿Podrian aclarar que es la prima de un seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
23,"¿Que significa el termino prima en mi contrato de seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
24,"¿Para que sirve la prima que pago en mi seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
25,"¿Por que es importante la prima en un seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
26,"¿Que incluye la prima que pago por mi seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
27,"¿Como afecta la prima a mi cobertura de seguro?,","¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
28,¿Hay diferentes tipos de primas en los seguros?,"¡Gracias por su consulta! Una prima de seguro es el costo que acuerda pagar por la cobertura que ha contratado para protegerlo. Este pago puede hacerse de forma mensual o anual, segun lo que mejor se adapte a sus necesidades.","{""Categoria"": ""Abiertas"", ""Dominio"": [""sb"",""ac""]}"
29,"¿Como descargo una certificacion de mi seguro?,","Descargue la certificacion de su seguro de accidentes escolares, de administradora de riesgo, de SOAT, de aviacion, de corriente debil, de credito a la exportacion, de cumplimiento, de desempleo, de deudores, desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
30,"¿Como descargo una certificacion de mi seguro de accidentes escolares?,","Descargue la certificacion de su seguro de accidentes escolares, de administradora de riesgo, de SOAT, de aviacion, de corriente debil, de credito a la exportacion, de cumplimiento, de desempleo, de deudores, desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
31,"¿Como descargo una certificacion de mi seguro de SOAT?,","Descargue la certificacion de su seguro de accidentes escolares, de administradora de riesgo, de SOAT, de aviacion, de corriente debil, de credito a la exportacion, de cumplimiento, de desempleo, de deudores, desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
32,"¿Como descargo una certificacion de mi seguro de aviacion?,","Descargue la certificacion de su seguro de accidentes escolares, de administradora de riesgo, de SOAT, de aviacion, de corriente debil, de credito a la exportacion, de cumplimiento, de desempleo, de deudores, desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
33,"¿Como descargo una certificacion de mi seguro de corriente debil?,","Descargue la certificacion de su seguro de accidentes escolares, de administradora de riesgo, de SOAT, de aviacion, de corriente debil, de credito a la exportacion, de cumplimiento, de desempleo, de deudores, desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
34,"¿Como descargo una certificacion de mi seguro de credito a la exportacion?,","Descargue la certificacion de su seguro de accidentes escolares, de administradora de riesgo, de SOAT, de aviacion, de corriente debil, de credito a la exportacion, de cumplimiento, de desempleo, de deudores, desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
35,"¿Como descargo una certificacion de mi seguro de cumplimiento?,","Descargue la certificacion de su seguro de accidentes escolares, de administradora de riesgo, de SOAT, de aviacion, de corriente debil, de credito a la exportacion, de cumplimiento, de desempleo, de deudores, desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
36,¿Como descargo una certificacion de mi seguro de desempleo?,"Descargue la certificacion de su seguro de accidentes escolares, de administradora de riesgo, de SOAT, de aviacion, de corriente debil, de credito a la exportacion, de cumplimiento, de desempleo, de deudores, desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija el seguro

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
37,"¿Cómo descargo una certificación de mi seguro de hogar, de casa?","Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
38,¿Cómo obtengo un certificado de mi seguro de hogar?,"Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
39,¿Dónde puedo descargar la certificación de mi seguro de casa?,"Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
40,¿Cómo puedo bajar el certificado de mi seguro de vivienda?,"Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
41,¿Dónde encuentro el certificado de mi póliza de seguro de hogar?,"Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
42,¿Cuál es el proceso para obtener la certificación de mi seguro de casa?,"Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
43,¿Puedo descargar un certificado de mi seguro de hogar desde el portal de la aseguradora?,"Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
44,¿Cómo consigo una copia del certificado de mi seguro de vivienda en línea?,"Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
45,¿Dónde se descarga el certificado del seguro de hogar en la página web de la aseguradora?,"Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
46,¿Cómo obtengo el documento que certifica mi seguro de casa?,"Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
47,¿Me pueden guiar para descargar la certificación de mi seguro de hogar?,"Descargue la certificacion de su seguro de hogar desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija hogar

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
48,¿Cómo descargo una certificación de mi seguro miscelaneos?,"Descargue la certificacion de su seguro su seguro miscelaneos desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija miscelaneos

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
49,¿Cómo obtengo un certificado de mi seguro misceláneos?,"Descargue la certificacion de su seguro su seguro miscelaneos desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija miscelaneos

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
50,¿Dónde puedo descargar la certificación de mi seguro misceláneos?,"Descargue la certificacion de su seguro su seguro miscelaneos desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija miscelaneos

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
51,¿Cómo puedo bajar el certificado de mi seguro misceláneos?,"Descargue la certificacion de su seguro su seguro miscelaneos desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija miscelaneos

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
52,¿Dónde encuentro la opción para descargar el certificado de mi seguro misceláneos?,"Descargue la certificacion de su seguro su seguro miscelaneos desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija miscelaneos

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
53,¿Cuál es el proceso para obtener la certificación de mi seguro misceláneos?,"Descargue la certificacion de su seguro su seguro miscelaneos desde este portal siguiendo estos pasos:
1. Dirijase a la seccion Mis certificaciones y en el filtro de ¿Para que necesita su certificacion? elija la opcion que mas se ajuste a su necesidad.
2. Luego, en el filtro Seleccione el producto a certificar elija miscelaneos

¡Y listo! Ahora puede guardar el archivo PDF, visualizarlo o enviarlo por correo electronico.

En caso de no encontrar la certificacion que desea, por favor comuniquese con nosotros al #322 donde un asesor podra ayudarle.","{""Categoria"": ""Abiertas"", ""Dominio"": [""ac""]}"
